Stock,Market Cap,Price/Sales,Price/Book,Return on Equity  (ttm),Revenue  (ttm),Quarterly Earnings Growth  (yoy),Operating Cash Flow  (ttm),Total Cash  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),52 Week Range 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,% Held by Insiders 1,Diluted EPS  (ttm),Levered Free Cash Flow  (ttm),Forward Annual Dividend Yield 4,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Price,Beta (5Y Monthly)
OKLO,1.29B,--,4.78,-59.39%,--,--,-26.22M,235.28M,0.01%,49.03,8.33%,3.24M,4.91M,33.87%,-0.12,-12.17M,--,0.00%,--,10.54,-0.24
UBI.PA,1.78B,0.87,0.95,9.39%,2.3B,--,537.6M,1.21B,133.56%,2.17,-48.21%,884.86k,2.12M,28.29%,1.24,-507.64M,--,0.00%,--,13.07,-0.04
TEAM,43.55B,9.96,42.16,-35.62%,4.36B,--,1.45B,2.34B,120.96%,1.18,-16.99%,1.85M,1.56M,0.43%,-1.16,1.49B,--,0.00%,--,167.53,0.73
DECK,24.22B,5.55,11.67,41.87%,4.44B,81.90%,1.02B,1.44B,12.65%,2.86,87.39%,2.05M,1.72M,0.48%,5.21,779.75M,--,0.00%,--,158.83,1.05
MSTR,37.73B,69.98,13.31,-11.49%,480.63M,--,-955k,66.92M,137.75%,0.47,446.58%,11.91M,13.42M,0.25%,-1.86,-4.01B,--,0.00%,--,186.09,3.12
GEV,72.15B,2.14,7.96,--,33.76B,--,2.7B,5.78B,9.74%,1.06,87.01%,2.98M,2.82M,0.10%,3.96,--,--,0.00%,--,262.54,--
LAC,643.53M,--,0.96,-5.33%,--,--,-14.86M,375.83M,0.69%,20.15,-74.77%,3.61M,4.17M,7.39%,-0.1200,-228.78M,--,0.00%,--,2.9400,--
BRK-B,977.17B,2.43,1.62,11.82%,370.11B,-15.50%,52.24B,276.94B,20.33%,2.28,30.11%,3.92M,3.02M,0.39%,31.47,50.62B,--,0.00%,--,453.50,0.87
DIDIY,24.31B,0.87,1.77,1.86%,200.76B,--,7.77B,46.49B,9.21%,2.29,42.98%,9.1M,22.71M,0.31%,0.03,1.25B,--,0.00%,--,5.02,0.53
NVDA,3.13T,33.02,53.87,123.77%,96.31B,168.20%,48.66B,34.8B,17.22%,4.27,178.88%,328.15M,282.95M,4.29%,2.13,33.73B,0.03%,0.02%,0.10,127.72,1.67
NIO,14.65B,1.42,6.20,-104.79%,63.52B,--,--,36.27B,159.89%,1.11,-23.33%,59.8M,126.22M,2.49%,-1.55,--,--,0.00%,--,6.79,1.86
INND,729.87k,0.44,--,--,14.51M,--,-10.81M,156.2k,--,1.16,-87.27%,39.19k,38.28k,11.01%,20.7900,--,--,0.00%,--,0.1550,28.17
TSLA,769.40B,8.82,11.58,20.86%,95.32B,-45.30%,11.53B,30.72B,18.61%,1.91,-8.65%,90.21M,78.89M,13.00%,3.56,-907.25M,--,0.00%,--,240.83,2.30
SWN,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
PLTR,87.09B,37.27,21.50,11.49%,2.48B,376.90%,708.38M,4B,6.25%,5.92,124.78%,59.68M,54.7M,5.16%,0.17,543.77M,--,0.00%,--,38.89,2.72
EVGO,739.66M,3.48,54.41,-22.63%,206.88M,--,-21.06M,162.04M,16.16%,2.50,126.42%,6.19M,20.26M,0.85%,-0.40,-117.73M,--,0.00%,--,6.93,2.59
AAL,7.58B,0.16,--,--,53.45B,-46.40%,2.02B,8.99B,--,0.60,-5.95%,37.31M,36.42M,1.27%,-0.18,675M,--,0.00%,1.27,11.53,1.44
F,41.70B,0.23,0.96,8.75%,180.35B,-4.50%,13.98B,26.44B,350.72%,1.17,-14.02%,59.99M,51.21M,0.27%,0.96,-1.64B,5.72%,5.68%,5.76,10.49,1.63
JBLU,2.51B,0.26,0.93,-30.30%,9.32B,-81.90%,-73M,1.5B,222.66%,0.54,56.83%,17.73M,17.32M,10.50%,-2.79,-1.4B,--,0.00%,--,7.23,1.92
ABEV,37.80B,2.59,2.18,16.23%,80.63B,-4.30%,25.95B,15.34B,3.60%,1.11,-7.31%,27.98M,41.3M,0.01%,0.1700,11.58B,6.26%,29.55%,3.98,2.4100,0.52
INTC,95.78B,1.73,0.83,0.78%,55.12B,--,11.52B,29.27B,44.03%,1.59,-38.57%,84.58M,77.73M,0.06%,0.24,-10.41B,2.23%,2.21%,2.85,22.38,1.02
MARA,4.71B,6.91,1.78,17.77%,564.95M,--,-376.29M,256.03M,13.13%,3.75,92.79%,37.75M,34.82M,1.95%,0.90,109.67M,--,0.00%,--,15.99,5.51
SMCI,27.95B,1.92,5.11,32.47%,14.94B,82.20%,-2.48B,1.67B,39.75%,3.77,53.85%,76.42M,73.7M,14.36%,2.01,-2.83B,--,0.00%,--,47.74,1.23
AMZN,1.90T,3.18,8.03,21.93%,604.33B,99.80%,107.95B,89.09B,66.76%,1.10,39.64%,40.38M,35.67M,8.99%,4.19,59.19B,--,0.00%,--,180.80,1.15
JD,72.93B,0.47,2.19,10.81%,1.11T,92.10%,74.04B,201.9B,29.93%,1.15,55.17%,17.13M,39.15M,0.88%,2.82,33.81B,1.61%,0.00%,--,47.08,0.42
CCL,24.17B,1.00,2.81,20.12%,24.48B,61.50%,5.93B,1.52B,352.36%,0.30,39.61%,27.63M,36.93M,7.64%,1.17,-506.25M,--,0.00%,4.21,18.01,2.70
AAPL,3.37T,8.92,50.53,160.58%,385.6B,7.90%,113.04B,61.8B,151.86%,0.95,24.27%,53.74M,41.77M,2.70%,6.56,86.16B,0.45%,0.43%,0.64,221.69,1.24
IQ,2.88B,0.66,1.56,14.31%,31.09B,-81.20%,2.81B,7.04B,127.11%,0.53,-37.25%,14.69M,40.68M,0.22%,0.2500,17.29B,--,0.00%,--,3.0000,0.07
LCID,7.93B,11.76,2.26,-51.52%,668.29M,--,-2.01B,3.22B,57.98%,3.96,-38.60%,38.2M,29.41M,2.02%,-1.1800,-1.98B,--,0.00%,--,3.4200,1.05
BAC,310.07B,3.25,1.16,8.50%,94.76B,-6.90%,47.05B,850.84B,--,--,47.95%,40.07M,30.09M,10.45%,2.85,--,2.60%,2.39%,2.44,39.96,1.34
WXXWY,12.09B,5.16,2.07,7.20%,17.12B,-33.90%,3.22B,9.53B,10.23%,2.91,-53.34%,77.35k,186.87k,0.00%,0.17,-982.72M,--,0.00%,--,5.85,0.63
B,2.36B,1.50,1.85,-4.48%,1.59B,--,73M,65.91M,91.57%,2.24,39.79%,482.91k,1.19M,9.20%,-1.17,81.13M,1.38%,1.41%,1.60,46.48,1.38
NFE,2.36B,0.81,1.51,14.81%,2.36B,--,483.85M,132.96M,463.33%,0.72,-68.93%,4.71M,9.37M,42.53%,1.18,-3.14B,4.26%,3.96%,--,9.39,1.50
ENVX,2.13B,121.32,12.53,-113.56%,16.62M,--,-117.47M,249.93M,113.30%,3.98,9.19%,5.65M,5.3M,15.17%,-1.45,-98.45M,--,0.00%,--,12.11,1.97
CLSK,2.31B,5.09,1.64,-15.25%,342.21M,--,-199.05M,126.95M,0.85%,8.94,155.47%,24.18M,21.8M,2.86%,-0.99,-270.42M,--,0.00%,--,9.10,4.18
MMYT,10.31B,13.26,9.04,21.38%,840.31M,13.90%,161.32M,674.62M,19.62%,2.78,124.53%,741.56k,1.21M,23.71%,1.76,108.15M,--,0.00%,--,93.92,1.28
WB,2.92B,1.71,0.86,10.10%,1.74B,37.50%,--,2.84B,77.83%,2.34,-11.54%,1.92M,4.71M,6.14%,1.29,--,--,0.00%,--,11.71,0.25
ASPN,1.92B,5.17,3.71,0.30%,357.24M,--,-21.19M,91.38M,29.12%,3.46,214.12%,1.72M,1.85M,17.66%,0.00,-157.09M,--,0.00%,--,24.91,2.16
VFC,7.72B,0.75,5.56,-57.03%,10.28B,--,870.84M,639.11M,513.10%,0.99,24.00%,7.27M,6.08M,0.35%,-3.01,674.09M,1.81%,2.67%,4.47,19.84,1.55
ANF,7.10B,1.60,5.89,50.93%,4.66B,134.10%,697.21M,738.4M,72.95%,1.44,132.63%,1.93M,1.71M,1.91%,9.43,459.91M,--,0.00%,4.64,139.04,1.50
NMRA,2.33B,--,6.12,-77.08%,--,--,-198.33M,371.64M,0.95%,17.23,32.14%,698.05k,775.24k,28.05%,-1.72,-133.95M,--,0.00%,--,14.56,--
MNSO,6.68B,3.24,4.62,26.75%,13.84B,9.00%,2.33B,6.87B,19.99%,2.34,-20.66%,2.45M,8.34M,0.99%,1.03,1.57B,1.34%,14.49%,--,20.42,0.19
CFLT,6.44B,7.19,7.37,-45.21%,865.59M,--,-14.19M,1.93B,127.41%,4.43,-34.43%,4.41M,4.21M,3.66%,-1.18,188.16M,--,0.00%,--,19.97,0.88
DOCN,3.84B,5.52,67.92,--,735.14M,"2,777.90%",272.6M,443.11M,--,2.47,76.18%,1.43M,1.45M,32.42%,0.72,139.65M,--,0.00%,--,41.72,1.83
ALB,12.28B,1.65,1.37,-4.10%,7.46B,--,991.48M,1.83B,31.87%,2.67,-35.54%,2.99M,2.81M,0.35%,-4.72,-2.5B,1.55%,1.57%,1.16,104.47,1.54
TEM,7.80B,13.98,79.40,--,595.57M,--,-291.71M,490.07M,484.03%,3.70,31.53%,1.07M,957.31k,63.77%,-11.55,--,--,0.00%,--,50.55,--
ALAB,8.23B,35.86,9.74,--,229.55M,--,47.53M,831M,0.25%,13.91,-15.62%,2.87M,2.59M,17.19%,-0.57,--,--,0.00%,--,52.55,--
IOVA,3.03B,80.27,3.95,-65.36%,32.77M,--,-388.76M,412.54M,10.63%,5.15,143.66%,6.28M,3.98M,0.53%,-1.67,-221.83M,--,0.00%,--,9.99,0.62
ZIM,2.26B,0.38,0.78,-50.40%,5.97B,--,1.6B,1.59B,193.51%,1.04,96.17%,5.66M,8.97M,17.54%,-16.30,1.04B,6.18%,6.12%,--,18.78,1.77
NVAX,2.09B,3.01,--,--,987.67M,179.90%,14.28M,1.05B,--,1.04,76.42%,6.79M,7.64M,4.38%,-2.62,-97.84M,--,0.00%,--,13.02,2.03
FND,12.00B,2.76,5.86,10.88%,4.39B,-20.70%,668.42M,138.06M,82.66%,1.17,25.28%,1.52M,970.48k,5.14%,1.94,63.44M,--,0.00%,--,112.00,1.80
IRDM,3.49B,4.64,4.44,9.89%,797.26M,--,311.46M,63.54M,211.86%,2.25,-33.08%,1.04M,1M,10.93%,0.71,260.71M,1.90%,1.77%,--,29.51,0.65
AMKBY,22.86B,0.48,0.44,2.08%,49B,-45.10%,4.27B,19.75B,30.11%,2.41,-21.42%,183.45k,196.81k,0.00%,0.36,1.83B,9.71%,"1,062.21%",8.22,7.29,1.05
AXSM,4.04B,13.68,39.28,-161.69%,291.49M,--,-167.49M,315.66M,186.48%,2.48,22.72%,485.9k,437.26k,16.84%,-6.58,-77.13M,--,0.00%,--,84.16,1.25
AZEK,6.29B,4.36,4.51,11.60%,1.48B,44.70%,290.63M,348.38M,49.24%,3.07,54.73%,2M,1.54M,1.70%,1.14,239.01M,--,0.00%,--,43.53,1.88
NMRK,2.49B,1.02,2.07,4.24%,2.54B,122.10%,306.25M,176.39M,141.48%,1.04,143.32%,1.36M,1.63M,13.09%,0.25,598.35M,0.82%,0.80%,2.00,14.65,2.01
CWK,2.85B,0.30,1.74,1.26%,9.31B,164.70%,287.2M,567.3M,209.04%,1.21,65.83%,2.02M,1.78M,1.28%,0.08,281.49M,--,0.00%,--,12.44,1.31
APGE,3.13B,--,4.04,-26.73%,--,--,-110.57M,676.23M,0.53%,27.70,156.02%,425.88k,388.23k,11.21%,-2.09,-71.46M,--,0.00%,--,55.23,--
KIROY,7.27B,1.57,2.56,41.45%,83.76B,-25.90%,31.36B,15.85B,1.88%,3.48,-1.65%,4.7k,11.87k,0.00%,1.19,16.82B,9.99%,558.78%,12.55,7.77,1.12
EXR,35.90B,11.14,2.53,8.82%,3.22B,-8.20%,1.78B,108.11M,77.49%,2.15,39.73%,949.64k,1.07M,1.07%,3.66,892.44M,3.83%,3.82%,3.25,169.40,0.87
UWMC,832.77M,0.66,7.34,3.67%,2.31B,-59.60%,-3.5B,808.87M,426.96%,1.24,46.80%,2.17M,4.01M,4.58%,0.03,1.37B,5.43%,5.29%,--,7.36,1.67
NSA,3.38B,7.62,3.98,13.26%,819.09M,-42.10%,400.61M,93.41M,186.54%,0.55,42.72%,712.17k,601.71k,9.02%,1.77,291.86M,5.03%,5.02%,4.42,44.54,1.00
SMG,4.78B,1.36,--,--,3.51B,202.30%,1.08B,291.7M,--,1.80,71.89%,829.3k,816.87k,24.98%,-4.72,1.05B,3.14%,3.17%,2.86,84.07,1.74
TTC,8.57B,1.95,5.24,25.65%,4.49B,--,481.9M,221.1M,67.87%,1.94,-2.09%,887.41k,914.85k,0.61%,3.81,282.13M,1.72%,1.69%,1.27,83.51,0.69
BEKE,31.27B,2.60,2.92,5.82%,77.76B,44.60%,7.58B,51.63B,28.59%,1.63,57.51%,10.28M,33.51M,1.46%,0.51,3.26B,1.45%,9.65%,--,24.29,-0.71
BABA,282.67B,2.18,2.11,5.67%,950.25B,-28.80%,170.92B,448.92B,22.80%,1.41,31.39%,17.6M,41.5M,0.01%,3.97,142.87B,1.70%,6.30%,--,117.52,0.34
T,156.17B,1.28,1.48,11.79%,122.2B,-19.90%,38.35B,3.16B,123.31%,0.70,45.59%,34.58M,26.86M,0.08%,1.74,17.86B,5.10%,5.07%,7.10,21.78,0.74
PFE,165.47B,2.99,1.89,-2.74%,55.17B,-98.20%,8.01B,7.1B,79.41%,0.86,-11.97%,32.03M,29.84M,0.05%,-0.46,3.44B,5.75%,5.81%,4.20,29.20,0.62
PWSC,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
BBD,27.59B,1.57,0.96,8.03%,69.52B,2.50%,-114.81B,263.02B,--,--,-5.54%,28.52M,41.41M,0.05%,0.2100,--,1.52%,2.09%,4.00,2.7300,0.65
RLX,2.94B,9.17,1.32,4.17%,1.88B,-34.80%,588.83M,8.3B,0.26%,14.38,6.02%,3.73M,12.79M,86.42%,0.0700,-135.55M,2.14%,0.00%,--,1.8700,0.91
NU,62.98B,8.85,9.10,24.35%,4.91B,116.70%,1.57B,8.86B,34.76%,0.92,74.08%,40.89M,29.18M,10.44%,0.31,--,--,0.00%,--,13.15,1.15
RIG,4.00B,1.20,0.37,-3.31%,3.08B,--,101M,475M,68.18%,1.36,-41.18%,19.51M,20.22M,18.25%,-0.4200,62.88M,--,0.00%,--,4.5700,2.79
MU,114.19B,4.59,2.53,1.74%,25.11B,--,8.51B,8.11B,31.19%,2.63,48.99%,25.51M,39.47M,0.26%,0.70,363.5M,0.45%,0.45%,0.33,102.91,1.18
PDD,212.58B,4.62,5.88,49.50%,341.59B,144.20%,134.29B,284.93B,3.84%,2.11,40.82%,14.34M,27.14M,0.00%,9.57,116.2B,--,0.00%,--,153.09,0.70
VALE,49.11B,1.18,1.33,24.05%,210.09B,219.10%,61.64B,36.36B,45.82%,1.08,-12.73%,29.52M,40.53M,0.01%,2.25,37.55B,15.43%,44.28%,3.11,11.52,0.91
YMM,10.42B,7.55,2.05,7.37%,9.7B,35.90%,--,16.69B,0.23%,6.94,35.36%,9.35M,22.44M,0.27%,0.34,--,1.45%,0.00%,--,9.96,0.22
GRAB,14.62B,5.61,2.33,-4.27%,2.58B,--,554M,4.92B,4.65%,3.00,4.25%,23.36M,31.19M,24.89%,-0.0500,1.06B,--,0.00%,--,3.6900,0.83
RIOT,2.48B,6.39,0.96,4.53%,280.02M,--,-61.5M,638.79M,0.92%,7.64,-22.74%,18.99M,16.35M,7.99%,0.56,-358.51M,--,0.00%,--,8.16,4.10
GOLD,34.98B,2.95,1.48,7.20%,11.83B,21.30%,4.04B,4.04B,14.54%,3.01,32.89%,20.37M,20.14M,0.60%,0.86,1.01B,2.01%,1.99%,2.14,19.88,0.48
WBD,18.93B,0.47,0.55,-28.67%,39.93B,--,7.91B,3.68B,115.66%,0.76,-27.65%,32.63M,24.97M,9.24%,-4.81,20.8B,--,0.00%,--,7.72,1.49
JOBY,4.28B,3.75k,4.79,-33.50%,1.08M,--,-368.99M,825.03M,3.87%,19.87,-9.30%,7.94M,15M,36.30%,-0.47,-238.18M,--,0.00%,--,5.98,1.97
ITUB,58.62B,2.24,1.78,19.31%,132.33B,16.90%,-26.75B,434.32B,--,--,19.04%,18.4M,25.64M,0.00%,0.69,--,2.57%,25.68%,3.12,6.44,0.56
XPEV,12.66B,2.31,2.56,-23.66%,36.24B,--,--,28.14B,41.22%,1.50,-24.38%,12.9M,21.81M,1.14%,-1.25,--,--,0.00%,--,13.08,2.78
XOM,557.00B,1.50,2.08,14.69%,345.13B,17.30%,54.87B,26.46B,15.63%,1.36,13.51%,14.32M,16.42M,0.05%,8.36,29B,3.03%,3.01%,5.06,125.37,0.88
WBA,7.66B,0.05,0.56,-55.97%,145.53B,191.50%,725M,711M,218.17%,0.65,-60.37%,19.32M,18.78M,17.41%,-6.74,2.17B,11.27%,16.74%,5.71,8.87,0.68
AGNC,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
FUTU,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
SNAP,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
META,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
BILI,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
AVGO,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
CVS,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
GOOGL,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
CLOV,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
KO,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
OXY,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
KGC,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
VST,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
NCLH,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
WFC,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
MSFT,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
VZ,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
WMT,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
PCG,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
FCX,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
GOOG,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
CVE,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
STLA,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
BTE,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
BTG,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
LI,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
HBAN,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
UBER,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
RKLB,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
AES,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
U,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
ET,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
LYG,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
NKE,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
BMY,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
JPM,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
UAL,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
EQT,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
NOK,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
